,company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
30,Agrofy,Agrofy is a global agribusiness e-commerce ecosystem.,https://www.agrofy.com.ar,Latin America,2020.0,Agriculture,AgTech & Data,"['{""name"": ""Alejandro Larosa"", ""url"": ""https://www.linkedin.com/in/alejandro-larosa/?originalSubdomain=ar""}']",Fund II,Series A,Status: Active,Invested: 2018
31,Aguamarina,"Aguamarina is an industrial biotechnology company for the mining sector, working on making mining a more sustainable – and ultimately “zero-waste” – activity.",https://www.ceibo.bio/,Latin America,2010.0,Smart City,Mining,"['{""name"": ""Pamela Chavez"", ""url"": ""http://cl.linkedin.com/pub/pamela-chavez-crooker/15/984/45b/en""}']",Fund II,Series A,Status: Active,Invested: 2019
32,AirTies,"AirTies provides wireless solutions for the residential and small business market in Europe, the Middle East, and Africa.",https://www.airties.com/,Europe,2006.0,Smart City,Hardware,"['{""name"": ""Bulent Celebi"", ""url"": ""https://www.linkedin.com/in/bulentcelebi/""}']",Fund I,Series B,Status: Active,Invested: 2012
33,Aivo,Aivo provides artificial intelligence communication solutions with the aim of transforming the way companies and customers interact.,https://www.aivo.co,Latin America,2011.0,Enterprise Software & Services,Cloud Communications,"['{""name"": ""Martin Frascaroli"", ""url"": ""https://www.linkedin.com/in/msfrasca/""}']",,,,
34,"Akervall Technologies, Inc.","Akervall Technologies produces SISU™, a mouth guard for sports, and SOVA™, a night guard for grinding, that are thinner, stronger and much more comfortable than conventional mouth guards.",http://www.akervalltechnologies.com/,U.S. & Canada,2017.0,,"Wearables, Devices, & Hardware","['{""name"": ""Sassa Akervall"", ""url"": ""https://www.linkedin.com/in/sassa-akervall""}', '{""name"": ""Jan Akervall"", ""url"": ""https://www.linkedin.com/in/jan-akervall-md-phd-92293220""}']",,,,
35,Akinon,Akinon is an omnichannel commerce platform designed to streamline retail sales from online and physical stores.,https://www.akinon.com,Europe,2020.0,Enterprise Software & Services,eCommerce & Retail Management,"['{""name"": ""Tolga Tatari"", ""url"": ""https://www.linkedin.com/in/tolgatatari/?originalSubdomain=tr""}', '{""name"": ""Ahmet Emre Sar\\u0131"", ""url"": ""https://www.linkedin.com/in/ahmet-emre-sari-1872804/""}']",Fund III,Series B,Status: Active,Invested: 2021
36,Al Ameed Coffee,Al Ameed Coffee is the region’s leading quality oriented coffee manufacturing and retail company based in Jordan.,http://www.alameedcoffee.com,Middle East,2018.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Adel Daher"", ""url"": ""https://www.linkedin.com/in/adel-d-b713ba168/""}', '{""name"": ""Basel Daher"", ""url"": ""https://www.linkedin.com/in/basel-daher-b5936095/""}']",,,,
37,Al Sagheer Group,"Al Sagheer Group provides French-inspired beauty services, bringing consistent, high quality products and services to the Egyptian beauty industry.",http://www.mohamedalsagheer.com/,Middle East,2014.0,Retail & Consumer Tech,Wellness & Beauty,"['{""name"": ""Mohamed Al Sagheer"", ""url"": """"}', '{""name"": ""Mostafa Al Sagheer"", ""url"": ""https://www.linkedin.com/in/mostafa-al-sagheer-38027520""}']",,,,
38,Al-Hatab Bakery,Al-Hatab Bakery is a retail chain in Saudi Arabia selling a wide variety of baked goods and gourmet specialties catered to local tastes.,http://alhatab.com.sa/,Middle East,2020.0,Food & Beverage,Food Service,"['{""name"": ""Ammar Aldaajan"", ""url"": ""https://www.linkedin.com/in/ammaraldaajan/""}', '{""name"": ""Moath Aldaajan"", ""url"": ""https://www.linkedin.com/in/moath-aldajan-43459963/""}']",,,,
39,AlMouneer,AlMouneer operates diabetic retina centers to improve the quality of life for patients with diabetes.,http://www.almouneer.com/,Middle East,2017.0,Healthcare,Healthcare Services,"['{""name"": ""Rania Kadry"", ""url"": ""https://www.linkedin.com/in/rania-kadry-a3430517/""}', '{""name"": ""Noha Khater"", ""url"": ""https://www.linkedin.com/in/noha-khater-079833a6/""}']",,,,
40,Alcatraz AI,"Alcatraz AI transforms access control by leveraging artificial intelligence and analytics to make powerful decisions at the edge, where your face becomes your credential.",https://alcatraz.ai/,Europe,2022.0,Enterprise Software & Services,Security,"['{""name"": ""Vince Gaydarzhiev"", ""url"": ""https://www.linkedin.com/in/gaydarzhiev""}', '{""name"": ""Tina D\'Agostin"", ""url"": ""https://www.linkedin.com/in/tinadagostin/""}']",,,,
41,Aldeamo,"Aldeamo allows its customers to reach consumers on any type of mobile phone without having to use any mobile data, by using SMS, email verification, push notifications, Whatsapp and voicemail.",https://www.aldeamo.com/,Latin America,2014.0,Enterprise Software & Services,Cloud Communications,"['{""name"": ""Hans Christian Boehlke"", ""url"": ""https://www.linkedin.com/in/hans-christian-boehlke-26a131/?locale=es_ES""}', '{""name"": ""Alfredo Angel"", ""url"": ""https://www.linkedin.com/in/alfredoangel/""}', '{""name"": ""Carl Petter Boehlke"", ""url"": """"}']",,,,
42,Alegra,Alegra is an invoicing and accounting software designed for managers of small businesses.,http://www.alegra.com/,Latin America,2018.0,Fintech,Accounting & Financial Software,"['{""name"": ""Santiago Villegas"", ""url"": ""https://www.linkedin.com/in/santiagovillegasgiraldo/""}', '{""name"": ""Jorge Soto"", ""url"": ""https://www.linkedin.com/in/jorgeasoto/?originalSubdomain=co""}']",,,,
43,Algo Group,Algo Consulting Group is an international business and technology services and solutions provider that helps companies large and small optimize organizational performance by mapping strategic goals and objectives to IT initiatives.,http://www.algoconsulting.net/,Africa,2015.0,Enterprise Software & Services,Business Services & Consulting,"['{""name"": ""Tarik Fadli"", ""url"": ""https://www.linkedin.com/in/tarikfadli/""}']",,,,
44,Alice,Alice is a primary healthcare provider and direct-to-consumer health insurer in Brazil.,https://www.alice.com.br,Latin America,2019.0,Healthcare,Insurtech,"['{""name"": ""Guilherme Azevedo"", ""url"": ""https://www.linkedin.com/in/guilherme-azevedo-14807730/""}']",Fund III,Series B,Status: Active,Invested: 2021
45,Alictus,"Alictus is a developer and self-publisher of mobile games, focusing on the hypercasual genre and has released top-charting and long-lasting products such as Collect Cubes, Art Ball 3D, Spear.io, and Boas.io.",https://alictus.com,Europe,2021.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Ecem Baran"", ""url"": ""https://www.linkedin.com/in/baranecem/""}', '{""name"": ""Emre Ta\\u015f"", ""url"": ""https://www.linkedin.com/in/aemretas/""}']",,,,
46,Alissar,Alissar is one of MENA’s leading floral solutions providers.,http://www.alissarflowers.com,Middle East,2014.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Ghassan Mzayek"", ""url"": ""https://www.linkedin.com/in/ghassan-mzayek-97852523/""}', '{""name"": ""Alissar Mzayek"", ""url"": ""https://www.linkedin.com/in/alissar-mzayek-184a9839/""}']",,,,
47,Alivio,Alivio Capital is a non-bank financial institution that provides consumer loans for patients in need of healthcare services.,https://credito.aliviocapital.com/tu-credito-para-la-salud-en-mexico,Latin America,2006.0,Fintech,Lending,"['{""name"": ""Patricio Villarreal Zambrano"", ""url"": ""https://www.linkedin.com/in/patricio-villarreal-zambrano-4ab5a8/?originalSubdomain=mx#""}']",,,,
48,Alltournative,Alltournative combines sustainable adventure tourism with indigenous culture in Cancun and the Mayan Riviera.,https://www.alltournative.com,Latin America,2006.0,Retail & Consumer Tech,Tourism & Hospitality,"['{""name"": ""Carlos Marin"", ""url"": ""https://www.linkedin.com/in/carlos-marin-2048899/?originalSubdomain=mx""}']",,,,
49,Alo Tech,"AloTech offers cloud-based, “pay-as-you-go” call center solutions as opposed to traditional, on-premise, capital-intensive products.",https://alotech.com.tr/,Europe,2014.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Cenk Soyak"", ""url"": ""https://www.linkedin.com/in/cenk-soyak-8372a4/?originalSubdomain=uk""}']",,,,
50,Altibbi,"Altibbi is an interactive online Arabic health portal, providing users with direct access to information from health professionals in a convenient, user-friendly, confidential, and timely manner.",http://www.altibbi.com,Middle East,2012.0,Healthcare,Digital Health and Telehealth,"['{""name"": ""Jalil Allabadi"", ""url"": ""https://www.linkedin.com/in/jalilallabadi/""}', '{""name"": ""Ayman Sharaiha"", ""url"": ""https://www.linkedin.com/in/aymansharaiha/?originalSubdomain=ae""}']",Fund II,Series A,Status: Active,Invested: 2017
51,Altruist,"Altruist is a digital investment platform that puts powerful software and free trading into the hands of good financial advisors to automatically reduce taxes, fees, and risk.",https://altruist.com/,U.S. & Canada,2019.0,Fintech,Wealth Management,"['{""name"": ""Jason Wenk"", ""url"": ""https://www.linkedin.com/in/jasonwenk/""}']",Fund II,Series A,Status: Active,Invested: 2018
52,Ambar,Ambar is Brazilian provider of modular housing solutions intended to minimize the cost of housing.,http://www.ambarbrasil.com.br,Latin America,2012.0,Smart City,Constructech,"['{""name"": ""Bruno Balbinot"", ""url"": ""https://www.linkedin.com/in/bruno-balbinot-109aa02/""}']",Fund II,Series B,Status: Active,Invested: 2018
53,Andiago!,Andiago! is a modern marketplace of extraordinary restaurant experiences in cities around the world.,https://andiago.co/,U.S. & Canada,2020.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Leandro Armas"", ""url"": ""https://www.linkedin.com/in/larmas/?originalSubdomain=ar""}', '{""name"": ""Carlos Garcia"", ""url"": ""https://www.linkedin.com/in/carlosgarcia/""}']",,,,
54,Angelus,Angelus provides dental solutions with a scientific and technological basis.,http://www.angelusdental.com/,Latin America,2008.0,Healthcare,"Pharmaceuticals, Diagnostics, & Life Sciences","['{""name"": ""S\\u00f4nia Madi Alc\\u00e2ntara"", ""url"": ""https://www.linkedin.com/in/madi-sonia-247b1616/""}', '{""name"": ""Roberto Queiroz Martins Alc\\u00e2ntara"", ""url"": ""https://www.linkedin.com/in/roberto-alcantara-28380710/?originalSubdomain=br""}']",,,,
55,Anghami,"Anghami is the leading digital music service in the Middle East, offering music enthusiasts the opportunity to listen to a wide variety of Arabic and English tracks from the convenience of a mobile phone. Anghami went public on the NASDAQ via SPAC in 2021.",http://www.anghami.com,Middle East,2013.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Elie Habib"", ""url"": ""https://www.linkedin.com/in/elie-habib-7047b931/""}', '{""name"": ""Eddy Maroun"", ""url"": ""https://www.linkedin.com/in/eddymaroun/""}']",Fund I,Series B,Status: Active,Invested: 2016
56,Antara IT,"Antara provides mining companies with software to track the inventory, quality and location of their products from initial exploration to delivery at port.",https://www.antaramining.cl/,Asia,2012.0,Smart City,Mining,"['{""name"": ""Patricio Rojas"", ""url"": ""https://www.linkedin.com/in/patriciorojasabalos/""}', '{""name"": ""Alfredo G\\u00f3mez"", ""url"": ""https://www.linkedin.com/in/alfredo-g%C3%B3mez-gonz%C3%A1lez-6b7aa2199/""}']",,,,
57,Antelope Audio,"Through its cutting edge hardware and software technology solutions, Antelope Audio ensures high quality audio across a number of specialized markets in the music production industry.",http://www.antelopeaudio.com,Europe,2017.0,Retail & Consumer Tech,CPG & Consumer Products,"['{""name"": ""Igor Levin"", ""url"": ""https://www.linkedin.com/company/antelope-audio/""}']",,,,
58,AnyMind,"AnyMind Group is removing barriers and granting global brands direct access to Southeast Asia, Greater China, India and the Middle East’s massive consumer base.",https://anymindgroup.com/,Asia,2021.0,Enterprise Software & Services,eCommerce & Retail Management,"['{""name"": ""Kosuke Sogo"", ""url"": ""https://www.linkedin.com/in/kosuke-sogo/""}']",,,,
59,Apollo Agriculture,Apollo Agriculture is a platform designed to help farmers with modern farming in emerging markets.,http://www.apolloagriculture.com/,Africa,,Agriculture,AgTech & Data,"['{""name"": ""Eli Pollak"", ""url"": ""https://www.linkedin.com/in/elipollak/?originalSubdomain=ke""}', '{""name"": ""Benjamin Njenga"", ""url"": ""https://www.linkedin.com/in/benjamin-njenga-4841876b/?originalSubdomain=ke""}']",Fund IV,Series A,Status: Active,Invested: 2022
60,AppHarvest,AppHarvest builds and operates greenhouses across the US.,http://www.appharvest.co/,U.S. & Canada,2019.0,Agriculture,Produce & Commodities,"['{""name"": ""Jonathan Webb"", ""url"": ""https://www.linkedin.com/in/jonathanwebbinfo/""}']",Fund III,Series C,Status: Active,Invested: 2020
61,Aprende,"Aprende is an educational platform for vocational skills in Latin America and the United States’ Hispanic markets, offering a wide array of courses and training.",https://aprende.com/,U.S. & Canada,2021.0,Education & Talent,Lifelong Learning,[],Fund III,Series B,Status: Active,Invested: 2021
62,Aqwire,"Qwikwire provides real estate solutions for brokers and property developers, including SaaS property management solutions, SAP-integrated billing and invoicing systems, cross-border settlements via licensed remittance channels, and property listing.",https://www.qwikwire.com/,Asia,2020.0,Fintech,Payments,"['{""name"": ""Ray Refundo"", ""url"": ""https://www.linkedin.com/in/erefundo/""}']",,,,
63,ArabNet,"Arabnet is an events, insights and innovation program organizer focused on tech business and innovation in the MENA region.",http://www.arabnet.me,Middle East,2014.0,Education & Talent,Workforce,"['{""name"": ""Omar Christidis"", ""url"": ""https://www.linkedin.com/in/omarchr/""}']",,,,
64,ArabiaWeather Inc.,"ArabiaWeather provides weather products, services and solutions to consumers and businesses in the Middle East and North Africa.",http://corporate.arabiaweather.com/,Middle East,2015.0,Retail & Consumer Tech,Services & Task Platforms,"['{""name"": ""Ehab Al-Shurafa"", ""url"": ""https://www.linkedin.com/in/ehabalshurafa/""}', '{""name"": ""Mohammed Al-Shaker"", ""url"": ""https://www.linkedin.com/in/mohammed-al-shaker-61a78031/""}']",,,,
65,Arabot,"Arabot is the first intelligent chatbot built specifically for the Arabic language, leveraging AI and a deep machine learning to accurately and efficiently analyze conversations across Arabic dialects.",http://arabot.io/,Middle East,2020.0,Enterprise Software & Services,Cloud Communications,"['{""name"": ""Kais Hassan"", ""url"": ""https://www.linkedin.com/in/kaismh/""}', '{""name"": ""Abdallah Faza"", ""url"": ""https://www.linkedin.com/in/abdallah-faza-57056435/""}']",,,,
66,Aranda Software,Aranda Software offers business service management solutions.,https://www.arandasoft.com,Latin America,2011.0,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""Alberto Lederman"", ""url"": ""https://www.linkedin.com/in/alberto-lederman-963317/""}']",,,,
67,Arbusta,Arbusta provides agile productive tech squads that can rapidly be sourced at competitive price.,http://www.arbusta.net/,Latin America,2013.0,Enterprise Software & Services,Business Services & Consulting,"['{""name"": ""Federico Seineldin"", ""url"": ""http://ar.linkedin.com/in/fseineldin""}']",,,,
68,ArcAqua,Aerobotics is an agritech business that helps farmers protect their crops and manage yields using drones and machine learning.,http://www.arcaqua.com/,Africa,2016.0,Agriculture,AgTech & Data,"['{""name"": ""Crispin Russell"", ""url"": ""https://www.linkedin.com/in/crispin-russell-54a69460/""}']",,,,
69,Archdaily,"Archdaily is an architecture website that provides knowledge, inspiration, and tools for architects.",http://www.archdaily.com,Latin America,2010.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""David Basulto"", ""url"": ""https://www.linkedin.com/in/dbasulto""}', '{""name"": ""David Assael"", ""url"": ""https://www.linkedin.com/in/david-assael-0722674""}']",,,,
70,Arizona,Arizona is a Brazil-based advertising campaign management platform.,http://www.arizona.com.br,Latin America,2007.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Marcus Hadade"", ""url"": ""https://www.linkedin.com/in/marcus-hadade-046146/?originalSubdomain=br""}']",,,,
71,Armut,Armut.com is an online marketplace that allows individuals to hire local service professionals based on quotes they provide.,https://armut.com,Europe,2014.0,Retail & Consumer Tech,Services & Task Platforms,"['{""name"": ""Erol De\\u011fim"", ""url"": ""https://www.linkedin.com/in/eroldegimturkey/""}', '{""name"": ""Ba\\u015fak Ta\\u015fp\\u0131nar De\\u011fim"", ""url"": ""https://www.linkedin.com/in/basak-taspinar-degim-56018b/""}']",,,,
72,Arquivei,Arquivei sells a digital bookkeeping program that streamlines invoicing for its customers.,https://arquivei.com.br/,Latin America,2019.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Christian De Cico"", ""url"": ""https://www.linkedin.com/in/christian-de-cico/?originalSubdomain=br""}', '{""name"": ""Isis Abbud"", ""url"": ""https://www.linkedin.com/in/isis-abbud-a65b4039/?originalSubdomain=br""}']",Fund III,Series B,Status: Active,Invested: 2021
73,Artemest,"Artemest connects the world of luxury handcrafted goods to global enthusiasts, offering a curated marketplace for design objects made by artisans and independent makers.",http://www.artemest.com,Europe,2018.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Marco Deseri"", ""url"": ""https://www.linkedin.com/in/marcodeseri/""}', '{""name"": ""Marco Credendino"", ""url"": ""https://www.linkedin.com/in/marco-credendino-72636241/""}']",,,,
74,Aruna,Aruna is an online fishery marketplace that enables fisheries to trade easily and transparently throughout Indonesia.,https://aruna.id/,Asia,2021.0,Agriculture,Produce & Commodities,"['{""name"": ""Farid Aslam"", ""url"": ""https://www.linkedin.com/in/faridnaslam/""}']",Fund III,Series A,Status: Active,Invested: 2021
