,company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
516,Kubo Financiero,"Kubo Financiero is a multi-product fintech company that offers savings accounts, personal loans, term deposits and peer-to-peer lending to customers in Mexico.",http://www.kubofinanciero.com,Latin America,2004.0,Fintech,Banking,"['{""name"": ""Vicente Fenoll Algorta"", ""url"": ""http://mx.linkedin.com/pub/vicente-fenoll/2b/128/675""}']",Fund I,Series A,Status: Active,Invested: 2016
517,Kueski,Kueski has built an online-only consumer lending platform specializing in micro-loans.,http://kueski.com,Latin America,2015.0,Fintech,Lending,"['{""name"": ""Adalberto Flores"", ""url"": ""https://www.linkedin.com/in/adalf""}']",Fund I,Series A,Status: Active,Invested: 2016
518,Kumu,Kumu is a Filipino social platform that offers live streaming and mobile content.,http://www.kumu.ph,Asia,2020.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Rexy Dorado"", ""url"": ""https://www.linkedin.com/in/rexyjosh/""}', '{""name"": ""Roland Ros"", ""url"": ""https://www.linkedin.com/in/rolandnavarro/""}']",Fund III,Series B,Status: Active,Invested: 2021
519,Kura Biotech,Kura Biotech is a biotech company that uses cutting-edge research techniques to equip drug testing laboratories with the most efficient enzymes.,http://www.kurabiotec.com/,Latin America,2016.0,Healthcare,"Pharmaceuticals, Diagnostics, & Life Sciences","['{""name"": ""Eduardo Wallach"", ""url"": ""https://www.linkedin.com/in/eduardowallachkura/""}', '{""name"": ""Manuel Rozas"", ""url"": ""https://www.linkedin.com/in/manuelrozaskurabiotec/""}']",,,,
520,LISNR,"LISNR’s ultrasonic data-over-sound technology enables proximity verification & contactless transactions for merchants, financial service providers and mobility companies.",http://lisnr.com/,U.S. & Canada,2018.0,Fintech,Payments,"['{""name"": ""Rodney Williams"", ""url"": ""https://www.linkedin.com/in/rodneybwilliams/""}']",Fund II,Series C,Status: Active,Invested: 2019
521,La Haus,La Haus optimizes the residential real estate sales process from listing to closing a property uses its technology platform.,http://www.lahaus.com,Latin America,2021.0,Retail & Consumer Tech,Real Estate,"['{""name"": ""Rodrigo Sanchez-Rios"", ""url"": ""https://www.linkedin.com/in/rodrigo-s%C3%A1nchez-r%C3%ADos-a21466/""}', '{""name"": ""Santiago Garc\\u00eda"", ""url"": ""https://www.linkedin.com/in/santiagogarciaz/""}']",Fund III,Series B,Status: Active,Invested: 2021
522,La Zarza,La Zarza makes classic Mexican desserts and pastries from the highest-quality ingredients and distributes them across Mexican states through 61 self-owned and franchise stores.,http://www.lazarza.com.mx,Latin America,2013.0,Food & Beverage,Food Service,"['{""name"": ""Jose Luis Cisneros Madrid"", ""url"": """"}']",,,,
523,Ladorian,Ladorian helps companies digitize advertising in brick and mortar stores.,https://ladorian.com/,Europe,2018.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Alejandro Guti\\u00e9rrez-Bol\\u00edvar"", ""url"": """"}']",Fund III,Series A,Status: Active,Invested: 2020
524,Lanieri,Lanieri is an e-commerce-driven brand offering made-to-measure formal apparel for a third of the price of the traditional made-in-Italy competition. It was acquired by its major shareholder in 2019.,http://www.lanieri.com,Europe,2016.0,Retail & Consumer Tech,Fashion & Apparel,"['{""name"": ""Riccardo Schiavotto"", ""url"": ""https://www.linkedin.com/in/riccardoschiavotto""}', '{""name"": ""Simone Maggi"", ""url"": ""https://www.linkedin.com/in/maggisimone""}']",,,,
525,Latir,Latir is an advertisement company that generates omnichannel transactional and engagement experiences focused on the shopper.,http://www.sistole.com.co/eng/index.html,Latin America,2011.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Ricardo Leyva"", ""url"": ""https://www.linkedin.com/in/rleyvag/?originalSubdomain=co""}']",,,,
526,Laudex,Laudex offers flexible loans to students who are unable to afford private university.,http://www.laudex.mx/,Latin America,2015.0,Fintech,Lending,"['{""name"": ""Francisco Cordero"", ""url"": ""https://www.linkedin.com/in/corderofrancisco""}']",,,,
527,Lay Bare,"Lay Bare offers a wide range of high-quality, hygienic, and affordable hair removal services in the Philippines.",http://www.lay-bare.com,Asia,2018.0,Retail & Consumer Tech,Wellness & Beauty,"['{""name"": ""Juan Paolo Hilario"", ""url"": ""https://www.linkedin.com/in/juan-paolo-hilario-9a18021b/""}']",,,,
528,LearnUpon,LearnUpon provides clients with solutions that streamline and centralize training management across their companies to accelerate business growth.,https://www.learnupon.com/,Europe,2020.0,Education & Talent,Workforce,"['{""name"": ""Des Anderson"", ""url"": ""https://www.linkedin.com/in/desvanderson/""}', '{""name"": ""Brendan Noud"", ""url"": ""https://www.linkedin.com/in/brendannoud/?originalSubdomain=ie""}']",,,,
529,LeaseQuery,"LeaseQuery makes software that helps businesses track their leases, avoid overpaying rent and perform lease accounting.",https://leasequery.com/,U.S. & Canada,2018.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Chris Ramsey"", ""url"": ""https://www.linkedin.com/in/christopherramsey/""}', '{""name"": ""George Azih"", ""url"": ""https://www.linkedin.com/in/georgeazihleasesoftware/""}']",,,,
530,Lemon Studios,Lemon Studios is a content creation and production company that has been putting the Mexican entertainment industry on the map.,http://www.thelemonstudios.com,Latin America,2020.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Fernando Rovzar"", ""url"": ""https://www.linkedin.com/in/fernando-rovzar-90556940/""}']",,,,
531,Lemontech,Lemontech is a SaaS platform developing software for lawyers.,http://www.lemontech.cl,Latin America,2018.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Ignacio Canals Cavagnaro"", ""url"": ""https://www.linkedin.com/in/ignaciocanals""}']",,,,
532,Lenddo,"Lenddo offers its technology to financial institutions in emerging economies with high social media and mobile penetration rates, limited penetration of financial services and limited coverage of credit bureaus.",http://www.lenddo.com/,Asia,2017.0,Fintech,Lending,"['{""name"": ""Richard Eldridge"", ""url"": ""https://www.linkedin.com/in/richard--eldridge""}']",,,,
533,Leonali,"Leonali is one of the first movers within Mexico’s emerging pre-cut vegetable market, which is only expected to grow as Mexican consumers’ awareness of healthy foods increases and more steps are taken to confront the country’s obesity epidemic.",http://leonali.com.mx/,Latin America,2013.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Jose Luis Correa Artasanchez"", ""url"": """"}']",,,,
534,LiSim,"LiSim develops scoring models, which use statistics and behavioral analysis to determine the inherent risk in granting credit to a given client.",http://www.lisim.com,Latin America,2008.0,Fintech,Lending,"['{""name"": ""Lilian Simbaqueba"", ""url"": """"}']",,,,
535,Lidyana,Lidyana is the leading online jewelry and accessories e-commerce company in Turkey.,https://www.lidyana.com/,Europe,2012.0,Retail & Consumer Tech,Fashion & Apparel,[],Fund I,Series B,Status: Active,Invested: 2013
536,Lighthouse Indonesia,Lighthouse Indonesia is the pioneer weight loss clinic in Indonesia.,http://www.lighthouse-indonesia.com,Asia,2013.0,Healthcare,Consumer Health and Wellness,"['{""name"": ""Grace Judio-Kahl"", ""url"": ""https://www.linkedin.com/in/grace-judio-dr-b478b274/?originalSubdomain=id""}']",,,,
537,Limonada,"Limonada provides Chile’s boys and girls with fun, innovative and fashionable clothing.",http://www.limonada.cl,Latin America,2011.0,Retail & Consumer Tech,Fashion & Apparel,"['{""name"": ""Paula Valverde"", ""url"": ""https://www.linkedin.com/in/paula-valverde-norambuena-0036705b/""}', '{""name"": ""Valentina Valverde"", ""url"": ""https://www.linkedin.com/in/valentina-valverde-norambuena-43504284/""}']",,,,
538,Link Mobile,"Grupo Link is a holding company that designs, executes, and optimizes digital transformation projects.",http://www.grupo-link.com,Latin America,2018.0,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""Juan Carlos Holguin"", ""url"": ""https://www.linkedin.com/in/holguinjc/?originalSubdomain=ec""}']",,,,
539,Little,"Little aggregates small operators and single vehicle owners on a technology platform to provide customers with a convenient, transparent, and quick service fulfillment.",http://www.little.bz/,Africa,2018.0,Smart City,Mobility,"['{""name"": ""Kamal Budhabhatti"", ""url"": ""https://www.linkedin.com/in/kamal-budhabhatti-6baa9633/""}']",,,,
540,Little Thinking Minds,Little Thinking Minds is a digital education company that aims to improve Arabic literacy for children through engaging and creative learning tools.,http://www.littlethinkingminds.com/,Middle East,2021.0,Education & Talent,K-12,"['{""name"": ""Lamia Tabbaa"", ""url"": ""https://www.linkedin.com/in/lamia-tabbaa-a3855445/""}', '{""name"": ""Rama Kayyali"", ""url"": ""https://www.linkedin.com/in/rama-kayyali-07a44113/""}', '{""name"": ""Salwa Katkhuda"", ""url"": ""https://www.linkedin.com/in/salwa-katkhuda-75b23513/""}']",,,,
541,Liv Up,LivUp is a direct-to-consumer health food brand offering ready-to-heat meals and snacks delivered to customers’ doorsteps.,http://www.livup.com.br,Latin America,2018.0,Food & Beverage,Meal Delivery & Alternative Models,"['{""name"": ""Victor Santos"", ""url"": ""https://www.linkedin.com/in/victor-santos""}', '{""name"": ""Henrique Castellani"", ""url"": ""https://www.linkedin.com/in/henrique-dorizzotto-castellani-70839956/""}']",Fund II,Series B,Status: Active,Invested: 2018
542,Location World,"Location World is an IoT company that optimizes processes and resource allocation for the automotive, transportation, security, logistics and insurance industries through telematics, fleet management, and connected-car applications.",https://www.location-world.com/en/,Latin America,2017.0,Smart City,Mobility,"['{""name"": ""Antonio Morales"", ""url"": ""https://www.linkedin.com/in/antoniomorales/""}', '{""name"": ""Daniel Wainmann"", ""url"": """"}', '{""name"": ""Binyamin Saada"", ""url"": """"}', '{""name"": ""Juan Ugalde"", ""url"": """"}']",,,,
543,Loft,"Loft is a digital platform that uses technology to simplify the sale and purchase of real estate. Founded in 2018, the company became the fastest Brazilian startup to reach unicorn status in 2020.",https://www.loft.com.br/,Latin America,2019.0,Retail & Consumer Tech,Real Estate,"['{""name"": ""Mate Pencz"", ""url"": ""https://www.linkedin.com/in/matepencz/""}', '{""name"": ""Florian Hagenbuch"", ""url"": ""https://www.linkedin.com/in/florianhagenbuch/""}']",Fund II,Series A,Status: Active,Invested: 2018
544,Lomar,"Lomar creates thobes, the robe-like traditional Arab men’s garments, with modern, fashion-forward touches.",http://www.lomarthobe.com,Middle East,2012.0,Retail & Consumer Tech,Fashion & Apparel,"['{""name"": ""Loai Naseem"", ""url"": ""https://www.linkedin.com/in/loai-naseem-07abb115/""}', '{""name"": ""Mona Alhaddad"", ""url"": """"}']",,,,
545,Loog Guitars,"Loog is a line of guitars designed to make it fun and easy to play music. They come with an app, flashcards and video lessons, to get kids playing songs on day one.",http://loogguitars.com/,Latin America,2014.0,Retail & Consumer Tech,CPG & Consumer Products,"['{""name"": ""Rafael Atijas"", ""url"": ""https://www.linkedin.com/in/rafaelatijas/""}', '{""name"": ""Edgard Barilas"", ""url"": ""https://www.linkedin.com/in/edgard-barilas-8b148b/""}']",,,,
546,Lori Systems,"Lori’s tech-enabled platform optimizes logistics and drives down the cost of goods by connecting traders, manufacturers, warehouses, and clearing & forwarding agents who need to move freight, to available truck drivers across Kenya, Uganda, Rwanda and Nigeria.",https://www.lorisystems.com/,Africa,2018.0,Smart City,Logistics Tech,"['{""name"": ""Josh Sandler"", ""url"": ""https://www.linkedin.com/in/sandlerja/""}']",Fund II,Series A,Status: Active,Invested: 2019
547,Lucky App,"Lucky has connected more than six million loyal customers with access to a growing range of easy-to-use credit products, discounts and cashback rewards that can be used in person and virtually with tens of thousands of local and global brands.",https://luckyegypt.com/en,Middle East,2019.0,Fintech,Lending,"['{""name"": ""Ayman Essawy"", ""url"": ""https://www.linkedin.com/in/aymanessawy/?originalSubdomain=eg""}', '{""name"": ""Momtaz Moussa"", ""url"": ""https://www.linkedin.com/in/momtaz-moussa-b018936/""}']",,,,
548,Luminus Education,"Luminus Education comprises several schools, colleges and institutes, offering fully accredited post-secondary vocational and technical training for youth aged 16 and above.",http://luminuseducation.com/,Middle East,2015.0,Education & Talent,Higher Education,"['{""name"": ""Ibrahim Safadi"", ""url"": ""https://www.linkedin.com/in/ibrahim-safadi-1bb15a13/""}']",,,,
549,Lummo,"Lummo is a digital bookkeeping app for SMEs in Indonesia, enabling them to record their sales, expenses and cash transactions using their smartphones.",http://www.beecash.io,Asia,2020.0,Fintech,Accounting & Financial Software,"['{""name"": ""Krishnan Menon"", ""url"": ""https://www.linkedin.com/in/krishnan-menon-2a409815""}']",Fund III,Series A,Status: Active,Invested: 2020
550,Lumni,"A venture capital fund that invests directly in human capital, Lumni finances education for students in exchange for a small fixed percentage of their future income over a pre-set time period.",http://www.lumni.net,Latin America,2009.0,Fintech,Lending,"['{""name"": ""Felipe Vergara"", ""url"": ""http://www.linkedin.com/pub/felipe-vergara/0/133/54a""}']",,,,
551,Luna PAC,Luna PAC offers customers high-quality personal care and makeup products that are sourced from premium European raw materials and fully manufactured in Egypt.,http://www.luna.com.eg,Middle East,2016.0,Retail & Consumer Tech,Wellness & Beauty,"['{""name"": ""Rania George"", ""url"": ""https://www.linkedin.com/in/rania-george-536a3264/#""}']",,,,
552,MASS Analytics,"MASS Analytics offers marketing analytics & software solutions to help clients optimize their marketing spend, achieve maximum ROI and predict future performance.",https://www.mass-analytics.com/,Africa,2019.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Firas Jabloun"", ""url"": ""https://www.linkedin.com/in/firas-jabloun-b8127b8/?locale=en_US""}', '{""name"": ""Ramla Jarrar"", ""url"": ""https://www.linkedin.com/in/ramla-jarrar?originalSubdomain=uk""}']",,,,
553,MAX,"MAX is a mobility platform that makes moto-taxis and 3-wheel taxis (known as Okadas and Kekes), safe, affordable, and accessible to underserved communities in Africa.",https://www.max.ng/,Africa,2022.0,Smart City,Mobility & Supply Chain,"['{""name"": ""Adetayo Bamiduro"", ""url"": ""https://www.linkedin.com/in/adetayobamiduro/""}', '{""name"": ""Chinedu Azodoh"", ""url"": ""https://www.linkedin.com/in/chineduazodoh/""}', '{""name"": ""Guy-Bertrand Njoya"", ""url"": ""https://www.linkedin.com/in/gbnjoya/""}']",,,,
554,MEDIASTREAM,"Mediastream is a streaming technology company that provides an end-to-end solution for major companies and broadcasters to connect with their audiences in a simple and effective way. It specializes in content administration and distribution, audiovisual production and user experience.",http://mediastream.cl/,Latin America,2014.0,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""Luis Ahumada Chamorro"", ""url"": """"}']",,,,
555,MFS Africa,MFS Africa is the continent’s largest digital payments hub – connecting more than 200 million mobile wallets on the continent through one API.,http://mfsafrica.com/,Africa,2020.0,Fintech,Payments,"['{""name"": ""Dare Okoudjou"", ""url"": ""https://za.linkedin.com/company/mfs-africa""}']",Fund III,Series C,Status: Active,Invested: 2021
556,MRSOOL,MRSOOL is a Saudi Arabian logistics platform that pioneered the on-demand service fulfillment model in the region by establishing a customer-to-customer network.,https://mrsool.co/,Middle East,2019.0,Smart City,Logistics Tech,"['{""name"": ""Ayman Alsanad"", ""url"": ""https://www.linkedin.com/in/ayman-alsanad-3817274/""}', '{""name"": ""Naif Alsamary"", ""url"": ""https://www.linkedin.com/in/inaif/?originalSubdomain=sa""}']",Fund III,Series B,Status: Active,Invested: 2021
557,MUNCH:ON,MUNCH:ON is a food tech startup offering office workers food from the best restaurants at a significant discount and with free delivery. The company recently expanded its offering to residential locations.,https://www.lunchon.ae/,Middle East,2019.0,Retail & Consumer Tech,Grocery & Delivery,"['{""name"": ""Dana Baki"", ""url"": ""https://www.linkedin.com/in/dana-baki-4a800623/""}', '{""name"": ""Mohammad Al Zaben"", ""url"": ""https://www.linkedin.com/in/alzaben/""}']",,,,
558,MXD Process,"MXD is a global supplier and manufacturer of liquid processing and industrial mixing equipment, streamlining operations for businesses across a wide range of industries that include oil and gas, pharmaceutical companies, and specialty chemicals.",https://www.mixerdirect.com/,U.S. & Canada,2018.0,Smart City,Equipment & Machinery,"['{""name"": ""Mark Franco"", ""url"": ""https://www.linkedin.com/in/mark-franco-708ba58/""}']",,,,
559,MadeiraMadeira,"MadeiraMadeira is an online marketplace that specializes in home products. 2021’s first Brazilian unicorn, the company makes international household trends both financially and logistically accessible using a cost-effective drop-shipping model.",https://www.madeiramadeira.com.br/,Latin America,2019.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Daniel Scandian"", ""url"": ""https://www.linkedin.com/in/danielscandian/""}', '{""name"": ""Marcelo Scandian"", ""url"": ""https://www.linkedin.com/in/marceloscandian/""}', '{""name"": ""Robson Privado"", ""url"": ""https://www.linkedin.com/in/robsonprivado/""}']",Fund III,Series D+,Status: Active,Invested: 2020
560,MadfooatCom,"MadfooatCom is an online, real-time bill presentment and payment service (EBPPS) that enables the billers’ clients to inquire about and pay their bills via convenient and secure electronic channels 24/7.",http://www.madfooat.com,Middle East,2014.0,Fintech,Payments,"['{""name"": ""Nasser Saleh"", ""url"": ""https://www.linkedin.com/in/nasaleh""}']",,,,
561,Magnamed,Magnamed supports patients with respiratory problems using mechanical ventilation equipment.,http://www.magnamed.com.br,Latin America,2013.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Tatsuo Suzuki"", ""url"": ""https://www.linkedin.com/in/tatsuo-suzuki-5639a2/""}', '{""name"": ""Toru Miyagi Kinjo"", ""url"": ""https://www.linkedin.com/in/toru-miyagi-kinjo-33b96441/""}', '{""name"": ""Wataru Ueda"", ""url"": ""https://www.linkedin.com/in/wataru-ueda-0811a81/""}']",,,,
562,Mapan (Ruma),Mapan (formerly known as Ruma) was a community-based savings and lending network that was acquired by Go-Jek in 2017. Mapan’s founder Aldi became CEO of Go-Pay until January 2021.,,Asia,2012.0,Fintech,Payments,"['{""name"": ""Aldi Haryopratomo"", ""url"": ""https://www.linkedin.com/in/aldi-haryopratomo-434455/""}']",Fund I,Series B,Status: Exit,Invested: 2014
563,MaqTec,"MaqTec engineers, manufactures and sells innovative agriculture machinery in niche markets.",http://www.maqtec.com/,Latin America,2009.0,Agriculture,AgTech & Data,"['{""name"": ""Jose Mourelle"", ""url"": ""https://www.linkedin.com/in/jos%C3%A9-mourelle-357266/""}', '{""name"": ""Martin Bonadeo"", ""url"": ""https://www.linkedin.com/in/martin-bonadeo-30414071/""}']",,,,
564,Maria Almenara,"Maria Almenara is the leading artisanal bakery in Peru, offering fresh, homemade products at large scale.",https://www.mariaalmenara.pe/,Latin America,2019.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Carlos Armando de la Flor"", ""url"": ""https://pe.linkedin.com/in/cadelaflor""}', '{""name"": ""Maria Almenara"", ""url"": ""https://www.linkedin.com/in/mariaalmenara/""}']",,,,
565,Marti,"Marti is a Turkish micromobilty company that offers free-floating, locally-manufactured, electric mobility across the country and provides locals with easily accessible, on demand, and affordable transportation options.",https://www.marti.tech/,Europe,2020.0,Smart City,Mobility,"['{""name"": ""Sena \\u00d6ktem"", ""url"": ""https://www.linkedin.com/in/sena-o-104ba4201/""}', '{""name"": ""Alper \\u00d6ktem"", ""url"": """"}', '{""name"": ""Cankut Durgun"", ""url"": ""https://www.linkedin.com/in/cankut-durgun-1a639352/""}']",Fund III,Series B,Status: Active,Invested: 2021
566,Masana,"Masana provides a highly specialized range of cleaning solutions, including contract cleaning, carpet deep cleaning, high rise window cleaning, sanitation and hygiene for pest control services.",http://www.masanahygiene.co.za,Africa,2019.0,Enterprise Software & Services,Business Services & Consulting,"['{""name"": ""Richard Mkhombo"", ""url"": ""https://www.linkedin.com/in/richard-mkhombo-91651129/?originalSubdomain=za""}', '{""name"": ""Cynthia Mkhombo"", ""url"": ""https://www.linkedin.com/in/cynthia-mkhombo-510770175/?originalSubdomain=za""}']",,,,
567,Maskota,"Maskota is a one-stop shop for pets as well as pet food, accessories and services in Mexico.",http://www.maskota.com.mx,Latin America,2009.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Murry Tawil Abad"", ""url"": ""https://www.linkedin.com/in/murry-tawil-abadi-501b1272/""}', '{""name"": ""Vivian Tawil"", ""url"": """"}', '{""name"": ""Isaac Tawil"", ""url"": """"}']",,,,
568,Mastermaq,"Mastermaq is a software-house specializing in administrative, accounting, tax and people management solutions.",http://www.mastermaq.com.br,Latin America,2002.0,Enterprise Software & Services,Business Services & Consulting,"['{""name"": ""Breno Nely Leite Praca"", ""url"": ""https://www.linkedin.com/in/breno-pra%C3%A7a-241136ab/""}', '{""name"": ""Carlos Alberto Tamm"", ""url"": ""https://www.linkedin.com/in/beto-tamm-908566b6/?originalSubdomain=br""}']",,,,
569,Matter,Matter is a branding agency in the Middle East that creates brands that elevate their respective markets and inspire consumer loyalty and capture their imagination.,http://www.matterbranding.com,Middle East,,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Dina Aly"", ""url"": ""https://www.linkedin.com/in/dina-aly-0816a234/?originalSubdomain=eg""}']",,,,
570,Matternet,"Matternet’s on-demand, aerial delivery platform provides end-to-end solutions for healthcare, e-commerce and logistics organizations in urban environments.",https://mttr.net,Europe,2019.0,Smart City,Logistics Tech,"['{""name"": ""Andreas Raptopoulos"", ""url"": ""https://www.linkedin.com/in/andreasraptopoulos/""}']",,,,
571,Mawdoo3,Mawdoo3 is a comprehensive online Arabic content publisher.,http://mawdoo3.com/,Middle East,2017.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Rami Alqawasmi"", ""url"": ""https://www.linkedin.com/in/rami-al-qawasmi-75874475/""}', '{""name"": ""Mohammad Jaber"", ""url"": ""https://www.linkedin.com/in/mohjaber/""}']",Fund II,Series B,Status: Active,Invested: 2019
572,MaxAB,MaxAB is a B2B e-commerce marketplace that connects Egypt’s underserved “mom and pop” retailers to FMCG companies with a complete solution across the logistics supply chain.,http://www.maxab.io,Middle East,2020.0,Smart City,Logistics Tech,"['{""name"": ""Mohamed Ben Halim"", ""url"": ""https://www.linkedin.com/in/mohamed-ben-halim-46072511a/""}', '{""name"": ""Belal El-Megharbel"", ""url"": ""https://www.linkedin.com/in/belal-el-megharbel-34718023/""}']",Fund III,Series A,Status: Active,Invested: 2021
573,MaxMilhas,MaxMilhas connects people who want to sell miles to those who want to buy affordable airline tickets.,https://www.maxmilhas.com.br/,Latin America,2017.0,Retail & Consumer Tech,Tourism & Hospitality,"['{""name"": ""Max Gaudereto Oliveira"", ""url"": ""https://www.linkedin.com/in/max-oliveira-02950124/""}']",,,,
574,Meal Box,Meal Box is a food delivery service and a single stop solution for everyday nutritional needs of urban people bored of fast-food.,https://www.mealbox.com.tr/,Europe,2016.0,Food & Beverage,Meal Delivery & Alternative Models,"['{""name"": ""Bulent Demirhan"", ""url"": ""https://www.linkedin.com/in/bulent-demirhan-48232a2/?originalSubdomain=tr""}', '{""name"": ""Murat Demirhan"", ""url"": ""https://www.linkedin.com/in/muratdemirhan/?originalSubdomain=tr""}']",,,,
575,Medica Santa Carmen,"Médica Santa Carmen is an integrated renal health services provider offering prevention, diagnostics and therapeutic care to people living with and at high risk of developing chronic kidney disease.",http://www.medicasantacarmen.com/,Latin America,2018.0,Healthcare,Healthcare Services,"['{""name"": ""Andr\\u00e9s Guti\\u00e9rrez"", ""url"": ""https://www.linkedin.com/in/andrescgutierrez/""}', '{""name"": ""Coni Riveros"", ""url"": ""https://www.linkedin.com/in/coniriveros/""}']",,,,
576,Mediconecta,"Mediconecta provides on-demand remote health services via videoconference using in-house physician networks and a platform accessible by web, mobile app and point-of-care kiosks.",http://www.mediconecta.com/,U.S. & Canada,2017.0,Healthcare,Healthcare Services,[],,,,
577,Medix,"Medix offers technologically sophisticated, globally competitive infant and intensive-care medical devices.",http://www.medix.com.ar/,Latin America,2009.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Diego Cheja"", ""url"": ""http://ar.linkedin.com/pub/diego-cheja/4/116/a06/""}']",,,,
578,Megatlon,Megatlon is Argentina’s leading chain of state-of-the-art gyms.,https://www.megatlon.com/#/,Latin America,2017.0,Healthcare,Consumer Health and Wellness,"['{""name"": ""Fernando Storchi"", ""url"": ""https://www.linkedin.com/in/fernando-storchi-303121124/""}']",,,,
579,Meliuz,Meliuz is a “cash back” marketplace where consumers can earn money while shopping at their favorite stores. The company went public on B3 in November 2020.,http://www.meliuz.com.br,Latin America,2016.0,Fintech,Payments,"['{""name"": ""Ofli Campos"", ""url"": ""https://www.linkedin.com/in/ofliguimaraes/""}', '{""name"": ""Israel Salmen"", ""url"": ""https://www.linkedin.com/in/israelsalmen/?originalSubdomain=br""}', '{""name"": ""Lucas Marques"", ""url"": ""https://www.linkedin.com/in/lucas-marques-b5182122/""}']",Fund II,Series B,Status: Exit,Invested: 2017
580,Memic,Memic Innovative Surgery is a surgical robotic technology company that aims to transform robot-assisted surgery.,https://memicmed.com/,U.S. & Canada,2021.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Dvir Cohen"", ""url"": ""https://www.linkedin.com/in/dvir-cohen-2a676a63/""}']",,,,
581,Memory,Memory develops accounting and administrative management software for SMEs.,https://www.memory.com.uy,Latin America,2001.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Roni Lieberman"", ""url"": ""http://uy.linkedin.com/pub/roni-lieberman/6/121/859""}']",,,,
582,Mensajeros Urbanos,"Mensajeros Urbanos (MU) is a tech-driven logistics company that connects more than 25K retailers and CPG companies such as OXXO, McDonalds, and Falabella with last-mile delivery solutions in 18 cities throughout Colombia and Mexico.",https://mensajerosurbanos.com/,Latin America,2021.0,Smart City,Mobility,"['{""name"": ""Santiago Pineda"", ""url"": ""https://www.linkedin.com/in/santiago-pineda-a7533221/""}', '{""name"": ""Juan Pablo Pineda"", ""url"": ""https://www.linkedin.com/in/juan-pablo-pineda-a45a353b/""}']",,,,
583,Mercado Bitcoin,Mercado Bitcoin is the largest Digital Assets Exchange in Latin America and among the 25 most trusted exchanges in the world.,https://www.mercadobitcoin.com.br/en/,Latin America,2021.0,Fintech,Blockchain & Crypto,"['{""name"": ""Roberto Dagnoni"", ""url"": ""https://www.linkedin.com/in/robertodagnoni/""}', '{""name"": ""Reinaldo Rabelo"", ""url"": ""https://www.linkedin.com/in/reinaldo-rabelo-5ab0521a/""}', '{""name"": ""Gustavo Chamati"", ""url"": ""https://www.linkedin.com/in/gustavochamati/""}', '{""name"": ""Mauricio Chamati"", ""url"": ""https://www.linkedin.com/in/mauriciochamati/""}']",Fund III,Series C,Status: Active,Invested: 2021
584,MercadoLibre.com,MercadoLibre is an online marketplace and e-commerce payments platform. The company is Latin America’s first unicorn and is publicly traded on NASDAQ.,https://www.mercadolibre.com/,Latin America,1999.0,Retail & Consumer Tech,Consumer Marketplaces,"['{""name"": ""Marcos Galperin"", ""url"": ""https://www.linkedin.com/in/marcosgalperin/?originalSubdomain=ar""}']",,,,
585,Merchant Capital,Merchant Capital provides alternate sources of working capital for SMEs in South Africa.,http://www.merchantcapital.co.za,Africa,2015.0,Fintech,Lending,"['{""name"": ""Dov Girnun"", ""url"": ""https://za.linkedin.com/pub/dov-girnun/67/139/140""}']",,,,
586,Merqueo,Merqueo is an online supermarket that works directly with suppliers to purchase goods and holds its own inventory.,https://merqueo.com/,Latin America,2018.0,Retail & Consumer Tech,Grocery & Delivery,"['{""name"": ""Miguel McAllister"", ""url"": ""https://www.linkedin.com/in/miguel-mc-allister-5006641/""}']",,,,
587,Meru,"Meru is a tech-enabled platform that connects Chinese manufacturers to customers in Mexico, providing the easiest and safest way to buy and bring inventory from Asian manufacturers to LatAm. Meru simplifies the wholesale process, so SMBs no longer have to deal with 5+ intermediaries in the supply chain and complex cross-border logistics.",https://meru.com.mx/,Latin America,2022.0,Smart City,Logistics Tech,"['{""name"": ""Manuel Rodriguez"", ""url"": ""https://www.linkedin.com/in/manuel-rodriguez-dao-aa78ab97/""}', '{""name"": ""Eduardo Mata"", ""url"": ""https://www.linkedin.com/in/eduardo-mata-680589147/""}']",,,,
